,,PW,ON,POWER ON/STANDBY change,PWON<CR>,<-,,,,,
,,,STANDBY,,PWSTANDBY<CR>,<-,,,,,
,,,?,Return PW Status,PW?<CR>,,,,,,
MAIN ZONE Control,,MV,UP,"MASTER VOLUME UP/DOWN , direct change to **dB",MVUP<CR>,MV80<CR>,,,,,
,,,DOWN,,MVDOWN<CR>,MV80<CR>,,,,,
,,,**,"**:00 to 98 by ASCII , 80=80(0dB), 00=0(---dB)(MIN)

Refer to ""Volume_CMD""sheet",MV80<CR>,<-,,,,,
,,,?,Return MV Status,MV?<CR>,,,,,,
,,CV,FL UP,"CHANNEL VOLUME UP/DOWN , direct change to **dB",CVFL UP<CR>,CVFL 50<CR>,,,,,
,,,FL DOWN,---FRONT Lch,CVFL DOWN<CR>,CVFL 50<CR>,,,,,
,,,FL **,"**:38 to 62 by ASCII , 50=0dB",CVFL 50<CR>,<-,,,,,
,,,FR UP,,CVFR UP<CR>,CVFR 50<CR>,,,,,
,,,FR DOWN,---FRONT Rch,CVFR DOWN<CR>,CVFR 50<CR>,,,,,
,,,FR **,"**:38 to 62 by ASCII , 50=0dB",CVFR 50<CR>,<-,,,,,
,,,C UP,,CVC UP<CR>,CVC 50<CR>,,,,,
,,,C DOWN,---CENTERch ,CVC DOWN<CR>,CVC 50<CR>,,,,,
,,,C **,"**:38 to 62 by ASCII , 50=0dB",CVC 50<CR>,<-,,,,,
,,,SW UP,,CVSW UP<CR>,CVSW 50<CR>,,,,,
,,,SW DOWN,---SUBWOOFER ch   ,CVSW DOWN<CR>,CVSW 50<CR>,,,,,
,,,SW **,"**:00,38 to 62 by ASCII , 50=0dB,00=OFF",CVSW 50<CR>,<-,,,,,
,,,SL UP,,CVSL UP<CR>,CVSL 50<CR>,,,,,
,,,SL DOWN,---SURROUND Lch,CVSL DOWN<CR>,CVSL 50<CR>,,,,,
,,,SL **,"**:38 to 62 by ASCII , 50=0dB",CVSL 50<CR>,<-,,,,,
,,,SR UP,,CVSR UP<CR>,CVSR 50<CR>,,,,,
,,,SR DOWN,---SURROUND Rch,CVSR DOWN<CR>,CVSR 50<CR>,,,,,
,,,SR **,"**:38 to 62 by ASCII , 50=0dB",CVSR 50<CR>,<-,,,,,
,,,SBL UP,---SURROUND BACK Lch (SBch 2SP),CVSBL UP<CR>,CVSBL 50<CR>,,,,,
,,,SBL DOWN,,CVSBL DOWN<CR>,CVSBL 50<CR>,,,,,
,,,SBL **,"**:38 to 62 by ASCII , 50=0dB",CVSBL 50<CR>,<-,,,,,
,,,SBR UP,---SURROUND BACK Rch (SBch 2SP),CVSBR UP<CR>,CVSBR 50<CR>,,,,,
,,,SBR DOWN,,CVSBR DOWN<CR>,CVSBR 50<CR>,,,,,
,,,SBR **,"**:38 to 62 by ASCII , 50=0dB",CVSBR 50<CR>,<-,,,,,
,,,SB UP,---SURROUND BACK ch      (SBch 1SP),CVSB UP<CR>,CVSB 50<CR>,,,,,
,,,SB DOWN,,CVSB DOWN<CR>,CVSB 50<CR>,,,,,
,,,SB **,"**:38 to 62 by ASCII , 50=0dB",CVSB 50<CR>,<-,,,,,
,,,FHL UP,---FRONT HEIGHT Lch  ,CVFHL UP<CR>,CVFHL 50,,,,,
,,,FHL DOWN,,CVFHL DOWN<CR>,CVFHL 50,,,,,
,,,FHL **,"**:38 to 62 by ASCII , 50=0dB",CVFHL 50<CR>,<-,,,,,
,,,FHR UP,---FRONT HEIGHT Rch  ,CVFHR UP<CR>,CVFHR 50,,,,,
,,,FHR DOWN,,CVFHR DOWN<CR>,CVFHR 50,,,,,
,,,FHR **,"**:38 to 62 by ASCII , 50=0dB",CVFHR 50<CR>,<-,,,,,
,,,TFL UP,---TOP FRONT Lch,CVTFL UP<CR>,CVTFL 50,,,,,
,,,TFL DOWN,,CVTFL DOWN<CR>,CVTFL 50,,,,,
,,,TFL **,"**:38 to 62 by ASCII , 50=0dB",CVTFL 50<CR>,<-,,,,,
,,,TFR UP,---TOP FRONT Rch,CVTFR UP<CR>,CVTFR 50,,,,,
,,,TFR DOWN,,CVTFR DOWN<CR>,CVTFR 50,,,,,
,,,TFR **,"**:38 to 62 by ASCII , 50=0dB",CVTFR 50<CR>,<-,,,,,
,,,TML UP,---TOP MIDDLE Lch,CVTML UP<CR>,CVTML 50,,,,,
,,,TML DOWN,,CVTML DOWN<CR>,CVTML 50,,,,,
,,,TML **,"**:38 to 62 by ASCII , 50=0dB",CVTML 50<CR>,<-,,,,,
,,,TMR UP,---TOP MIDDLE Rch,CVTMR UP<CR>,CVTMR 50,,,,,
,,,TMR DOWN,,CVTMR DOWN<CR>,CVTMR 50,,,,,
,,,TMR **,"**:38 to 62 by ASCII , 50=0dB",CVTMR 50<CR>,<-,,,,,
,,,FDL UP,---FRONT DOLBY Lch,CVFDL UP<CR>,CVFDL 50,,,,,
,,,FDL DOWN,,CVFDL DOWN<CR>,CVFDL 50,,,,,
,,,FDL **,"**:38 to 62 by ASCII , 50=0dB",CVFDL 50<CR>,<-,,,,,
,,,FDR UP,---FRONT DOLBY Rch,CVFDR UP<CR>,CVFDR 50,,,,,
,,,FDR DOWN,,CVFDR DOWN<CR>,CVFDR 50,,,,,
,,,FDR **,"**:38 to 62 by ASCII , 50=0dB",CVFDR 50<CR>,<-,,,,,
,,,SDL UP,---SURROUND DOLBY Lch,CVSDL UP<CR>,CVSDL 50,,,,,
,,,SDL DOWN,,CVSDL DOWN<CR>,CVSDL 50,,,,,
,,,SDL **,"**:38 to 62 by ASCII , 50=0dB",CVSDL 50<CR>,<-,,,,,
,,,SDR UP,---SURROUND DOLBY Rch,CVSDR UP<CR>,CVSDR 50,,,,,
,,,SDR DOWN,,CVSDR DOWN<CR>,CVSDR 50,,,,,
,,,SDR **,"**:38 to 62 by ASCII , 50=0dB",CVSDR 50<CR>,<-,,,,,
,,,ZRL,Reset all channel level to the factory defaults,CVZRL<CR>,"CVFL 50<CR>
:
:
CVEND<CR>",,,,,
,,,?,Return CV Status,"CV?<CR>

","※Only the speaker which there is on the speaker configration replies
(e.g.）
CVFL 62<CR>
:
:
CVEND<CR>　",,,,,
,,MU,ON,OUTPUT MUTE ON/OFF change,MUON<CR>,<-,,,,,
